Types d'aliments,aliment,link,Quantité,Eau,Protéines,Alcool,Glucides,Lipides,Vitamine A(rétinol),Bêta-carotène(provitamine A),Vitamine D(cholécalciférol),Vitamine E(tocophérol),Vitamine K1,Vitamine K2,Vitamine C,Vitamine B1(thiamine),Vitamine B2(riboflavine),Vitamine B3(niacine),Vitamine B5(acide panthonéique),Vitamine B6,Vitamine B9(acide folique),Vitamine B12(cobolamine),Calcium,Cuivre
matieres-grasses-ajoutees,Huile de soja,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-soja-918030,100000000.0,,,,,100000000.0,,,,6100.0,362000000.0,,,,,,,,,,2570.0,3.9
matieres-grasses-ajoutees,Huile de son de riz,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-son-de-riz-918031,100000000.0,,,,,100000000.0,,,,32299.999999999996,24700000.0,,,,,,,,,,,
matieres-grasses-ajoutees,Huile de tournesol,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-de-tournesol-918032,100000000.0,30000.0,500000.0,,,100000000.0,,5000000.0,250000.0,57300.0,800000.0,,,,,,,,,,200.0,10.0
matieres-grasses-ajoutees,Huile pour friture,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-pour-friture-918034,100000000.0,30000.0,,,,100000000.0,,5000000.0,250000.0,52800.0,12100000.0,,,,,,,,,,400.0,50.0
matieres-grasses-ajoutees,Huile végétale,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/huile-vegetale-918035,100000000.0,66000.0,210000.0,,,99900000.0,,129000000.0,110000.0,32800.0,45400000.0,,,,,,,,,,290.0,5.2
matieres-grasses-ajoutees,Lard gras,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/lard-gras-917999,100000000.0,7690000.0,2920000.0,,,88700000.0,5000000.0,,3100000.0,,,,,84.0,51.0,990.0,120.0,40.0,1000000.0,180000.0,2000.0,18.0
matieres-grasses-ajoutees,Margarine,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/margarine-918036,100000000.0,29900000.0,160000.0,,240000.0,67400000.0,13400000.0,455000000.0,,23400.0,,,2009.9999999999998,27.0,25.0,25.0,25.0,25.0,2500000.0,94000.0,8460.0,500.0
matieres-grasses-ajoutees,Margarine allégée,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/margarine-allegee-918037,100000000.0,40800000.0,280000.0,,240000.0,58900000.0,49700000.0,516000000.0,6520000.0,18400.0,,,740.0,31.0,25.0,25.0,26.0,25.0,2500000.0,74000.0,13600.0,500.0
matieres-grasses-ajoutees,Saindoux,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/matieres-grasses-ajoutees/saindoux-918000,100000000.0,1000000.0,,,,99500000.0,9000000.0,,2500000.0,500.0,,,,,,,,20.0,,,1000.0,20.0
oeufs,Blanc d'oeuf,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/oeufs/blanc-doeuf-918386,100000000.0,87600000.0,10800000.0,,850000.0,190000.0,,,,,,900000.0,,4.0,440.0,93.0,200.0,3.5,5500000.0,90000.0,6000.0,23.0
oeufs,Blanc d'oeuf cuit,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/oeufs/blanc-doeuf-cuit-918387,100000000.0,87800000.0,10300000.0,,1120000.0,170000.0,,,,,,,,6.0,350.0,78.0,180.0,7.0,7900000.0,56000.0,6670.0,23.0
oeufs,Jaune d'oeuf,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/oeufs/jaune-doeuf-918391,100000000.0,55000000.0,15500000.0,,1090000.0,26700000.0,336000000.0,88000000.0,2000000.0,3890.0,700000.0,32100000.0,,170.0,380.0,160.0,2870.0,290.0,159000000.0,3030000.0,50200.0,100.0
oeufs,Jaune d'oeuf cuit,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/oeufs/jaune-doeuf-cuit-918392,100000000.0,50300000.0,16000000.0,,1310000.0,30100000.0,263000000.0,106000000.0,2110000.0,5000.0,,,,170.0,390.0,160.0,4540.0,300.0,166000000.0,2430000.0,76400.0,150.0
oeufs,Oeuf,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/oeufs/oeuf-918389,100000000.0,76300000.0,12700000.0,,270000.0,9830000.0,182000000.0,,1880000.0,1430.0,300000.0,,,55.0,450.0,63.0,1570.0,150.0,34000000.0,1450000.0,76800.0,55.0
oeufs,Oeuf à la coque,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/oeufs/oeuf-a-la-coque-918384,100000000.0,76000000.0,12200000.0,,1080000.0,9820000.0,132000000.0,11000000.0,1280000.0,2170.0,,,500.0,81.0,410.0,60.0,1340.0,60.0,57000000.0,960000.0,150000.0,100.0
oeufs,Oeuf au plat,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/oeufs/oeuf-au-plat-918385,100000000.0,74600000.0,13800000.0,,1010000.0,9720000.0,115000000.0,,740000.0,,,,,,,,,,,,,
oeufs,Oeuf brouillé,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/oeufs/oeuf-brouille-918388,100000000.0,76400000.0,9990000.0,,1620000.0,11000000.0,159000000.0,26000000.0,1800000.0,980.0,4000000.0,,,40.0,380.0,76.0,1220.0,130.0,36000000.0,760000.0,66000.0,59.0
oeufs,Oeuf de caille,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/oeufs/oeuf-de-caille-918383,100000000.0,74400000.0,13100000.0,,410000.0,11100000.0,155000000.0,11000000.0,1400000.0,1080.0,300000.0,,,130.0,790.0,150.0,1760.0,150.0,66000000.0,1580000.0,64000.0,62.0
oeufs,Oeuf dur,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/oeufs/oeuf-dur-918390,100000000.0,76500000.0,13500000.0,,520000.0,8620000.0,61500000.0,11000000.0,1120000.0,1030.0,300000.0,,,66.0,510.0,64.0,1400.0,120.0,44000000.0,1110000.0,41000.0,68.0
oeufs,Oeuf poché,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/oeufs/oeuf-poche-918393,100000000.0,75900000.0,12500000.0,,710000.0,9470000.0,159000000.0,,2000000.0,1040.0,300000.0,,,32.0,390.0,63.0,1530.0,140.0,35000000.0,710000.0,68200.0,69.0
poissons,Maquereau en conserve,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/poissons/maquereau-en-conserve-918492,100000000.0,65700000.0,21600000.0,,,11400000.0,76200000.0,,5010000.0,970.0,100000.0,,,50.0,190.0,6390.0,580.0,230.0,7500000.0,7320000.0,128000.0,130.0
poissons,Oeufs de lumpe,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/poissons/oeufs-de-lumpe-918498,100000000.0,76000000.0,10400000.0,,1000000.0,7270000.0,13000000.0,,2650000.0,1890.0,600000.0,,500.0,40.0,71.0,160.0,280.0,80.0,25000000.0,5450000.0,11600.0,100.0
poissons,Surimi,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/poissons/surimi-918501,100000000.0,72500000.0,8310000.000000001,,11800000.0,4920000.0,28000000.0,,500000.0,1100.0,100000.0,,,20.0,21.0,220.0,70.0,30.0,2000000.0,710000.0,19000.0,40.0
poissons,Oeuf de cabillaud fumés,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/poissons/oeuf-de-cabillaud-fumes-918497,100000000.0,67000000.0,26900000.0,,100000.0,4200000.0,8700000.0,,27200000.0,,,,,,,,,,,,8200.0,82.0
poissons,Caviar,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/poissons/caviar-918488,100000000.0,,25000000.0,,,17100000.0,,,,1600.0,,,,490.0,71.0,80.0,280.0,80.0,25000000.0,5450000.0,,40.0
poissons,Miettes de thon à l'huile en conserve,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/poissons/miettes-de-thon-a-lhuile-en-conserve-918503,100000000.0,60900000.0,23400000.0,,,14800000.0,21000000.0,,1210000.0,8680.0,800000.0,,,15.0,27.0,12200.0,190.0,110.0,6710000.0,4460000.0,11000.0,60.0
poissons,Sardine à l'huile en conserve,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/poissons/sardine-a-lhuile-en-conserve-918499,100000000.0,60500000.0,24400000.0,,490000.0,12000000.0,4700000.0,,7560000.0,1440.0,,,,40.0,160.0,7100.0,680.0,280.0,16000000.0,13600000.0,333000.0,62.0
poissons,Anchois à l'huile,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/poissons/anchois-a-lhuile-918487,100000000.0,55100000.0,26400000.0,,200000.0,8450000.0,5000000.0,,1700000.0,1160.0,12100000.0,,500.0,40.0,250.0,3900.0,630.0,370.0,14500000.0,20900000.0,189000.0,250.0
poissons,Thon germon à l'huile d'olive en conserve,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/poissons/thon-germon-a-lhuile-dolive-en-conserve-918506,100000000.0,59300000.0,31300000.0,,1010000.0,6950000.0,4000000.0,,860000.0,1750.0,,,,40.0,51.0,15600.0,160.0,630.0,5000000.0,2450000.0,1000.0,100.0
poissons,Maquereau mariné,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/poissons/maquereau-marine-918496,100000000.0,66599999.99999999,16300000.0,,,13300000.0,34500000.0,,7300000.0,,,,,37.0,130.0,3180.0,220.0,250.0,12400000.0,,14600.0,90.0
